,season-7.2.0,season-7.2.5,season-7.3.0,season-7.3.2,season-bfa-1,season-bfa-2,season-bfa-3,season-bfa-4,rr_mean,rr>=1,rr>=2
dps_rogue,1.67,2.84,3.69,2.0,4.54,5.73,5.16,4.17,3.725,8,7
healer_druid,2.64,2.09,2.12,1.7,2.44,5.32,4.92,3.73,3.12,8,7
dps_demon_hunter,2.49,1.64,1.08,1.16,3.67,1.93,3.01,3.49,2.30875,8,4
dps_mage,1.49,1.52,1.11,1.01,2.07,1.59,2.56,2.91,1.7825000000000002,8,3
tank_death_knight,1.18,2.29,2.45,3.74,3.84,0.33,0.15,0.23,1.77625,5,4
healer_paladin,1.59,1.99,2.61,4.0,0.43,0.38,0.83,1.59,1.6775,5,3
tank_warrior,0.61,0.39,0.18,0.08,0.53,5.17,2.0,3.69,1.58125,3,3
dps_hunter_mmbm,1.74,1.53,0.89,0.75,0.94,1.88,1.51,2.17,1.42625,5,1
dps_warlock,1.52,1.44,2.14,2.34,0.68,0.37,0.09,0.27,1.1062500000000002,4,2
dps_druid_balance,0.59,1.06,1.33,1.65,1.79,0.65,0.89,0.25,1.02625,4,0
dps_warrior,1.25,2.43,2.36,0.44,0.18,0.08,0.34,0.61,0.96125,3,2
tank_demon_hunter,0.96,1.5,1.5,1.61,0.53,0.03,0.18,0.76,0.88375,4,0
dps_monk,0.36,0.18,0.16,4.57,0.39,0.83,0.23,0.13,0.8562500000000001,1,1
tank_monk,0.62,0.47,0.38,0.04,0.71,0.08,3.33,0.97,0.825,2,1
tank_paladin,1.18,0.73,1.15,0.52,0.31,0.37,0.28,0.17,0.58875,2,0
dps_paladin,1.57,0.84,0.63,0.16,0.12,0.29,0.04,0.12,0.47125,1,0
dps_death_knight,1.16,0.7,0.53,0.64,0.09,0.13,0.2,0.32,0.47124999999999995,1,0
healer_priest_discipline,0.39,0.47,0.56,0.03,1.68,0.19,0.14,0.27,0.46625,1,0
dps_shaman_elemental,0.36,0.26,0.4,0.23,0.37,1.01,0.46,0.12,0.40125,1,0
tank_druid,1.45,0.63,0.33,0.01,0.09,0.03,0.06,0.18,0.3475,1,0
healer_monk,0.08,0.15,0.06,0.02,1.41,0.1,0.06,0.3,0.2725,1,0
dps_priest,0.31,0.19,0.12,0.02,0.14,0.51,0.5,0.28,0.25875000000000004,0,0
healer_shaman,0.77,0.71,0.36,0.05,0.03,0.01,0.04,0.1,0.25875,0,0
healer_priest_holy,0.53,0.58,0.29,0.2,0.02,0.0,0.01,0.01,0.205,0,0
dps_druid_feral,0.15,0.15,0.4,0.03,0.0,0.01,0.0,0.07,0.10124999999999999,0,0
dps_shaman_enhancement,0.14,0.15,0.08,0.0,0.0,0.0,0.02,0.1,0.061250000000000006,0,0
dps_hunter_survival,0.2,0.06,0.06,0.0,0.01,0.0,0.0,0.0,0.04125,0,0
